kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10023070,잠실 센트럴파크,위탁관리,5,녹색개발(주),관리방식미정,0,,위탁관리,1,차량수거방식,관리방식미정,,,철골철근콘크리트구조,1450,기타,기타,R형,부스타방식,관리방식미정,4,70,66,유,17,관리사무소,5분이내,2호선,,5분이내,,,1,0,Y
A10023599,잠실엘타워,위탁관리,5,우리관리(주),위탁관리,2,,위탁관리,2,음식물쓰레기종량제,위탁관리,6,"분무식,기구부착식",철골철근콘크리트구조,2750,종합계약,위탁선임,GR형,부스타방식,위탁관리,5,0,86,무,47,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,2호선,잠실새내역,5분이내,병원(아산병원) 백화점(롯데쇼핑센타),,0,0,Y
A10027523,월드메르디앙주상복합아파트,위탁관리,4,세화종합관리(주),위탁관리,0,세화종합관리(주),위탁관리,1,차량수거방식,위탁관리,6,"분무식,독이식",철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,4,30,100,,15,관리사무소,5분이내,"2호선, 9호선",,5분이내,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,0,Y
A13822001,잠실레이크팰리스,위탁관리,27,율산개발 유한회사,위탁관리,29,에스케이쉴더스,위탁관리,37,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,9800,종합계약,상주선임,R형,부스타방식,위탁관리,56,3,4110,유,765,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",5분이내,"2호선, 8호선",신천,5~10분이내,관공서(송파강동등기소) 병원(잠실병원) 백화점(롯데백화점) 대형상가(롯데마트) 공원(석촌호수),초등학교(송전초등) 중학교(잠신중학) 고등학교(영동여고),0,48,Y
A13822002,잠실동트리지움,위탁관리,30,율산개발 유한회사,위탁관리,39,세이프원,위탁관리,52,음식물쓰레기종량제,위탁관리,4,"도포식,독이식",철근콘크리트구조,10750,단일계약,상주선임,P형,부스타방식,위탁관리,75,0,4686,유,865,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,2호선,신천,5분이내,관공서(송파강동등기소) 병원(잠실병원) 백화점(롯데백화점) 대형상가(롯데마트) 공원(석촌호수),초등학교(잠전초등) 고등학교(영동여고),0,175,Y
A13822003,잠실리센츠,위탁관리,44,(주)아주관리,위탁관리,51,에스케이쉴더스(주),위탁관리,65,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식,기구설치식",철근콘크리트구조,18900,종합계약,상주선임,R형,부스타방식,위탁관리,119,0,7876,무,500,,5분이내,,,5분이내,,,0,207,Y
A13822004,잠실엘스아파트,위탁관리,42,율산개발 유한회사,위탁관리,55,에스케이쉴더스(주),위탁관리,73,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,19900,종합계약,상주선임,R형,부스타방식,위탁관리,118,10,7445,유,1570,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,2호선,,5분이내,관공서(송파구청) 병원(서울아산병원) 백화점(롯데백화점) 대형상가(롯데마트) 공원(한강시민공원),"초등학교(잠신초교,신천초교,잠일초교,잠동초교,송전초교) 중학교(잠신중교,신천중교,잠실중교) 고등학교(잠신고교,영동여고교)",0,221,Y
A13822301,갤러리아팰리스,위탁관리,38,(주)타워피엠씨,위탁관리,33,(주타워피엠씨,위탁관리,31,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,12000,종합계약,상주선임,R형,부스타방식,위탁관리,27,20,1427,유,170,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",10~15분이내,"2호선, 8호선",잠실,5분이내,관공서(송파강동등기소) 병원(잠실병원) 백화점(롯데백화점) 대형상가(롯데마트) 공원(석촌호수),초등학교(잠전초등) 중학교(잠신중학) 고등학교(영동여고),0,43,Y
A13822701,잠실아시아선수촌,위탁관리,17,우리관리(주),위탁관리,57,새롬종합관리(주),위탁관리,21,거점장비수거방식,위탁관리,4,분무식,철근콘크리트구조,4750,종합계약,상주선임,P형,고가수조식,위탁관리,52,659,720,유,221,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,"2호선, 9호선",종합운동장역,5분이내,관공서(송파강동등기소) 병원(서울의료원) 대형상가(단지내상가) 공원(아시아공원) 기타(잠실종합운동장),초등학교(아주초등) 중학교(아주중교) 고등학교(정신여고),0,0,Y
A13822702,"잠실우성1,2,3차",위탁관리,18,국제경보산업(주),위탁관리,60,예주산업(주),위탁관리,17,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,4500,단일계약,상주선임,P형,부스타방식,위탁관리,64,1000,0,무,138,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"2호선, 9호선",,5분이내,"관공서(송파강동등기소) 병원(서울의료원) 백화점(현대백화점,롯데백화점) 대형상가(단지내상가) 공원(아시아공원) 기타(잠실종합운동장)",초등학교(아주초등) 중학교(아주중교) 고등학교(정신여고),0,0,Y
A13822902,잠실우성4차,위탁관리,6,에이제이대원 주식회사,위탁관리,16,(유)탄천산업,위탁관리,7,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식",철근콘크리트구조,2050,종합계약,상주선임,R형,고가수조식,위탁관리,17,568,0,무,50,"관리사무소, 노인정, 어린이놀이터",5분이내,"2호선, 9호선",2호선 - 잠실새내(신천)/ 9호선 - 삼전역,10~15분이내,관공서(잠실본동주민센터) 병원(잠실병원) 공원(점전놀이공원) 기타(새마을시장),초등학교(잠전초등) 중학교(아주중학) 고등학교(정신여고),0,0,Y
A13879102,잠실5단지아파트,자치관리,41,,위탁관리,64,(유)탄천산업,위탁관리,40,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,22955,종합계약,상주선임,P형,고가수조식,위탁관리,110,2411,0,무,188,"관리사무소, 노인정, 어린이놀이터",10~15분이내,"2호선, 8호선",잠실역,10~15분이내,"관공서(송파구청) 병원(아산병원) 백화점(롯데백화점) 대형상가(단지내상가, 롯데마트) 공원(올림픽공원) 기타(롯데월드)",초등학교(신천초등) 중학교(잠신중학) 고등학교(잠신고등),0,0,Y
A13886701,잠실현대,위탁관리,4,유한회사 현대관리시스템,위탁관리,8,현대관리시스템,위탁관리,3,음식물쓰레기종량제,위탁관리,4,"분무식,기구부착식",철근콘크리트구조,1170,단일계약,위탁선임,P형,부스타방식,위탁관리,12,283,0,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"2호선, 9호선",신천,10~15분이내,"관공서(송파강동등기소, 소방서 등) 병원(잠실병원) 백화점(잠실롯데백화점) 공원(잠실근린공원) 기타(새마을시장)",초등학교(잠전초등) 중학교(아주중학) 고등학교(정신여고),6,0,Y
A10020230,잠실르엘,위탁관리,15,(주)케이티팝스,위탁관리,,에스케이쉴더스 주식회사,위탁관리,27,기타,위탁관리,4,"분무식,독이식",철근콘크리트구조,8750,종합계약,상주선임,GR형,부스타방식,관리방식미정,50,0,2853,유,1214,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",,"2호선, 8호선",,,,,0,101,Y
A10020294,잠실래미안아이파크,위탁관리,27,(주)타워피엠씨,,,,위탁관리,30,,관리방식미정,,,,,,,,,관리방식미정,88,,,,1956,,,,,,,,0,0,Y
A10023169,현대타워아파트,위탁관리,5,율산개발 유한회사,자치관리(직영),2,,자치관리(직영),2,,위탁관리,12,도포식,철근콘크리트구조,250,종합계약,위탁선임,R형,기타,위탁관리,3,0,207,유,48,"관리사무소, 자전거보관소",5~10분이내,"2호선, 8호선",,5~10분이내,관공서() 백화점(),중학교(),0,3,Y
A13824001,포스코더샵스타리버,자치관리,10,,자치관리(직영),8,,자치관리(직영),8,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,5250,종합계약,상주선임,GR형,부스타방식,위탁관리,10,23,515,무,90,"관리사무소, 자전거보관소",5분이내,"2호선, 8호선",성내,5분이내,관공서(송파구청) 병원(아산중앙병원) 백화점(롯데백화점) 대형상가(홈플러스) 공원(올림픽공원),초등학교(잠동초등) 중학교(잠실중학) 고등학교(잠실고등),0,12,Y
A13824002,잠실더샵스타파크,자치관리,8,,자치관리,7,,자치관리(직영),7,음식물쓰레기종량제,자치관리,12,"도포식,분무식",철근콘크리트구조,5000,종합계약,상주선임,R형,부스타방식,위탁관리,10,3,587,유,117,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,"2호선, 8호선",잠실,5분이내,관공서(송파구청) 병원(아산중앙병원) 백화점(롯데백화점) 대형상가(홈플러스) 공원(올림픽공원),초등학교(잠동초교) 중학교(잠실중교) 고등학교(잠실고등),0,23,Y
A13824003,한신코아,위탁관리,7,한국주택시설관리(주),위탁관리,5,,위탁관리,3,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,820,단일계약,위탁선임,P형,고가수조식,위탁관리,3,88,448,무,13,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"2호선, 8호선",,5~10분이내,관공서(송파구청) 병원(아산중앙병원) 백화점(롯데백화점) 대형상가(홈플러스) 공원(올림픽공원),초등학교(잠동초등) 중학교(잠실중학) 고등학교(잠실고등),0,6,Y
A13824005,신천장미1차2차,자치관리,35,,위탁관리,90,와이번스(주),위탁관리,45,차량수거방식,위탁관리,3,"도포식,분무식,기구부착식",철근콘크리트구조,8800,단일계약,상주선임,P형,고가수조식,위탁관리,41,1980,0,무,240,"노인정, 어린이놀이터, 자전거보관소",5분이내,2호선,신천,5분이내,,,0,0,Y
